query	address.country_code	un_region	un_subregion	hand_edited	Freq	query_date	place_id	osm_type	display_name	class	type	importance	address.country	reviewed
nitc	ir	Asia	Southern Asia	FALSE	NA	2021-02-14	71788869	node	NITC, Ø®Ø§Ø±Ú©, Ø¬Ø²ÛŒØ±Ù‡ Ø®Ø§Ø±Ú©, Ø¨Ø®Ø´ Ø®Ø§Ø±Ú¯, Ø´Ù‡Ø±Ø³ØªØ§Ù† Ø¨ÙˆØ´Ù‡Ø±, Ø§Ø³ØªØ§Ù† Ø¨ÙˆØ´Ù‡Ø±, Ø§ÛŒØ±Ø§Ù†	building	dormitory	0.101	Ø§ÛŒØ±Ø§Ù†	FALSE
el-brolosy	eg	Africa	Northern Africa	FALSE	NA	2021-02-14	236886283	way	Ø´Ø§Ø±Ø¹ Ù…Ø­Ù…Ø¯ Ø§Ù„Ø¨Ø±ÙˆÙ„Ø³Ù‰, Ù…Ø¯ÙŠÙ†Ù‡ Ø§Ù„Ø´Ù‡Ø¯Ø§Ø¡, Ø§Ù„Ø´Ù‡Ø¯Ø§Ø¡, Ù…Ø­Ø§Ù<81>Ø¸Ø© Ø§Ù„Ù…Ù†ÙˆÙ<81>ÙŠØ©, 32841, Ù…ØµØ±	highway	residential	0.1	Ù…ØµØ±	FALSE
ecr	in	Asia	Southern Asia	FALSE	NA	2021-02-14	197878336	way	East Coast Road, Nagapattinam, Nagapattinam District, Tamil Nadu, 611001, India	highway	trunk	0.1	India	FALSE
acr	th	Asia	South-Eastern Asia	FALSE	NA	2021-02-14	258556641	relation	à¸ˆà¸±à¸‡à¸«à¸§à¸±à¸”à¸­à¸³à¸™à¸²à¸ˆà¹€à¸ˆà¸£à¸´à¸<8d>, à¸›à¸£à¸°à¹€à¸—à¸¨à¹„à¸—à¸¢	boundary	administrative	0.472372072558657	à¸›à¸£à¸°à¹€à¸—à¸¨à¹„à¸—à¸¢	FALSE
zikv	NONE	NA	NA	FALSE	NA	2021-02-14	NA	NA	NA	NA	NA	NA	NA	FALSE
macedon	us	Americas	Northern America	FALSE	NA	2021-02-14	258843324	relation	Macedon, Wayne County, New York, 14502, United States	boundary	administrative	0.5	United States	FALSE
marconi wireless telegraph co.	NONE	NA	NA	FALSE	NA	2021-02-14	NA	NA	NA	NA	NA	NA	NA	FALSE
ptaa	in	Asia	Southern Asia	FALSE	NA	2021-02-14	258689519	relation	PTAA Complex, New Mandala Road, Mandala, Anushakti Nagar, Zone 5, Mumbai, Mumbai Suburban, Maharashtra, 400094, India	leisure	fitness_centre	0.101	India	FALSE
htab	il	Asia	Western Asia	FALSE	NA	2021-02-14	59504441	node	Ø¹Ù…Ø± Ø¨Ù† Ø§Ù„Ø®Ø·Ø§Ø¨ Ø£â€˜, Ø´Ø§Ø±Ø¹ Ø§Ù„ØªØ­Ø±ÙŠØ±, Ù…Ø±ÙƒØ² Ø§Ù„Ø¨Ù„Ø¯, , × ×¤×ª ×¢×›×•, ×ž×—×•×– ×”×¦×¤×•×Ÿ, no, ×™×©×¨×<90>×œ	highway	bus_stop	0.001	×™×©×¨×<90>×œ	FALSE
sosip env immunogen	NONE	NA	NA	FALSE	NA	2021-02-14	NA	NA	NA	NA	NA	NA	NA	FALSE
